順位,順位変動,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,PER,PBR,利回り
"1","","","285A","キオクシア","東Ｐ","81,590","-1,710","-2.05","3,276,954","","","－","31.92","－"
"2","","","6976","太陽誘電","東Ｐ","18,385","-2,175","-10.58","360,029","","","127","6.68","0.49"
"3","","","1570","日経レバ","東Ｅ","78,500","-180","-0.23","253,069","","","－","－","－"
"4","","","6981","村田製","東Ｐ","10,250","-830","-7.49","216,137","","","63.7","6.86","0.68"
"5","","","8035","東エレク","東Ｐ","72,320","-880","-1.20","206,934","","","－","16.07","－"
"6","","","9984","ＳＢＧ","東Ｐ","5,979","-190","-3.08","200,831","","","－","1.93","0.18"
"7","","","6857","アドテスト","東Ｐ","29,565","+220","+0.75","195,687","","","46.0","26.90","－"
"8","","","5803","フジクラ","東Ｐ","5,354","-4","-0.07","171,828","","","38.7","15.82","0.71"
"9","","","4062","イビデン","東Ｐ","21,390","-1,955","-8.37","147,312","","","102","10.86","0.16"
"10","","","7011","三菱重","東Ｐ","4,110","+318","+8.39","144,960","","","36.3","4.47","0.71"
"11","","","3436","ＳＵＭＣＯ","東Ｐ","5,171","+77","+1.51","132,441","","","－","3.18","－"
"12","","","6525","コクサイエレ","東Ｐ","11,270","-730","-6.08","128,146","","","67.8","12.00","0.42"
"13","","","6146","ディスコ","東Ｐ","78,000","+1,410","+1.84","108,639","","","－","14.42","－"
"14","","","6920","レーザーテク","東Ｐ","47,040","-610","-1.28","100,136","","","58.6","18.70","0.70"
"15","","","4063","信越化","東Ｐ","7,415","+457","+6.57","86,543","","","－","3.09","－"
"16","","","8306","三菱ＵＦＪ","東Ｐ","3,370.0","+44.0","+1.32","86,431","","","14.0","1.70","2.85"
"17","","","7203","トヨタ","東Ｐ","2,923.0","+95.0","+3.36","77,519","","","11.5","0.87","3.42"
"18","","","5801","古河電","東Ｐ","3,888","-112","-2.80","72,568","","","33.4","6.56","0.57"
"19","","","9983","ファストリ","東Ｐ","86,930","+2,430","+2.88","71,208","","","55.6","10.13","0.74"
"20","","","5016","ＪＸ金属","東Ｐ","4,022","-63","-1.54","71,076","","","33.5","5.26","0.50"
"21","","","8316","三井住友ＦＧ","東Ｐ","6,800","+128","+1.92","70,334","","","15.2","1.64","2.65"
"22","","","7735","スクリン","東Ｐ","17,860","-1,080","-5.70","66,766","","","30.7","6.94","0.98"
"23","","","7013","ＩＨＩ","東Ｐ","3,071.0","+201.5","+7.02","66,443","","","19.7","4.99","0.75"
"24","","","6723","ルネサス","東Ｐ","4,710","-110","-2.28","54,362","","","－","3.36","－"
"25","","","6501","日立","東Ｐ","4,805","+190","+4.12","54,023","","","25.3","3.27","－"
"26","","","8411","みずほＦＧ","東Ｐ","8,195","+117","+1.45","53,517","","","15.3","1.76","1.83"
"27","","","6752","パナＨＤ","東Ｐ","4,557","+35","+0.77","53,111","","","25.3","2.04","1.18"
"28","","","7974","任天堂","東Ｐ","7,033","-99","-1.39","50,676","","","26.2","2.74","2.30"
"29","","","6762","ＴＤＫ","東Ｐ","3,501.0","-198.0","-5.35","49,439","","","29.5","3.04","1.14"
"30","","","7012","川重","東Ｐ","3,003.0","+183.0","+6.49","49,058","","","22.8","2.86","1.33"
"31","","","5802","住友電","東Ｐ","2,592.5","-71.5","-2.68","47,098","","","25.3","2.95","1.50"
"32","","","6506","安川電","東Ｐ","7,449","-30","-0.40","46,061","","","41.1","4.00","0.97"
"33","","","6758","ソニーＧ","東Ｐ","3,422.0","+42.0","+1.24","43,373","","","17.3","2.47","1.02"
"34","","","1357","日経Ｄインバ","東Ｅ","2,575","+9","+0.35","41,419","","","－","－","－"
"35","","","4004","レゾナック","東Ｐ","16,750","-750","-4.29","39,763","","","39.4","4.27","0.39"
"36","","","8136","サンリオ","東Ｐ","1,155.0","+67.5","+6.21","39,113","","","21.9","8.99","1.39"
"37","","","7267","ホンダ","東Ｐ","1,599.0","+49.0","+3.16","39,083","","","23.9","0.53","4.38"
"38","","","8766","東京海上","東Ｐ","7,810","+226","+2.98","38,559","","","18.0","1.88","3.14"
"39","","","6963","ローム","東Ｐ","5,782","-168","-2.82","35,326","","","77.0","2.94","0.86"
"40","","","6367","ダイキン","東Ｐ","26,150","+455","+1.77","34,478","","","26.2","2.24","1.38"
"41","","","6861","キーエンス","東Ｐ","80,910","+610","+0.76","33,353","","","－","5.65","0.68"
"42","","","6098","リクルート","東Ｐ","11,895","-25","-0.21","32,778","","","26.5","10.44","0.22"
"43","","","5706","三井金属","東Ｐ","37,520","-1,220","-3.15","31,973","","","28.6","5.21","0.75"
"44","","","4568","第一三共","東Ｐ","2,758.0","+108.5","+4.10","31,605","","","19.3","3.02","3.63"
"45","","","6526","ソシオネクス","東Ｐ","2,700.0","-174.0","-6.05","31,510","","","47.3","3.56","1.85"
"46","","","8002","丸紅","東Ｐ","5,026","+63","+1.27","30,786","","","14.1","1.87","2.29"
"47","","","6954","ファナック","東Ｐ","7,477","+38","+0.51","30,447","","","37.7","3.74","－"
"48","","","6701","ＮＥＣ","東Ｐ","4,347","+179","+4.29","28,773","","","－","2.62","0.92"
"49","","","8058","三菱商","東Ｐ","4,507","+50","+1.12","27,684","","","15.0","1.75","2.77"
"50","","","9432","ＮＴＴ","東Ｐ","147.0","+0.9","+0.62","26,094","","","12.2","1.23","3.67"
"51","","","7003","三井Ｅ＆Ｓ","東Ｐ","4,865","+454","+10.29","25,628","","","16.4","2.14","1.23"
"52","","","6324","ハーモニック","東Ｐ","8,890","+50","+0.57","25,248","","","187","10.47","0.22"
"53","","","6503","三菱電","東Ｐ","6,043","+99","+1.67","24,578","","","26.0","2.76","0.99"
"54","","","6590","芝浦","東Ｐ","5,840","-140","-2.34","23,685","","","32.2","6.90","1.10"
"55","","","8725","ＭＳ＆ＡＤ","東Ｐ","4,552","+98","+2.20","23,585","","","15.4","1.02","3.73"
"56","","","2802","味の素","東Ｐ","6,091","-76","-1.23","23,551","","","48.5","7.54","0.82"
"57","","","1579","日経ブル２","東Ｅ","849.0","-0.6","-0.07","23,539","","","－","－","－"
"58","","","6479","ミネベア","東Ｐ","4,500","-348","-7.18","23,533","","","21.8","2.01","1.33"
"59","","","6971","京セラ","東Ｐ","3,874","-42","-1.07","23,286","","","36.0","1.52","1.45"
"60","","","1360","日経ベア２","東Ｅ","63.2","+0.2","+0.32","22,794","","","－","－","－"
